Month,Count
Departure delay,
January,0.34026049094509253
February,0.37340634394170696
March,0.3886325070181439
April,0.36287970807259234
May,0.3617351584541207
June,0.4410720105629978
July,0.45305387255249147
August,0.4046318622242863
September,0.35898737812790094
October,0.40685086919135943
November,0.39274168922734165
December,0.4546115967047976
Arrival delay,
January,0.40108242572085734
February,0.43955259982644607
March,0.45071271957000547
April,0.4272393828660069
May,0.42631099699959696
June,0.48104760870110225
July,0.46651396230788544
August,0.44091600236666817
September,0.43568965546717
October,0.483925599704439
November,0.4393932415211951
December,0.4754182664801458
OO,0.44651520044370735
NW,0.4902790611716873
DL,0.4492556601051995
HA,0.24493511969792806
TZ,0.5349964289358229
OH,0.45492792135174887
WN,0.3987979853018363
AA,0.4404557510367513
B6,0.47196465723165437
US,0.4636897734745783
XE,0.44980179853670693
AQ,0.3016644530477294
AS,0.48596647511982133
MQ,0.45205676182719856
FL,0.4512276715268573
F9,0.4645767955556048
CO,0.4994747712426751
EV,0.5302057896413234
UA,0.4471708452664757
YV,0.4144912128729115
